GO:0000016	EC:3.2.1.108	LACTASE-RXN
GO:0001760	EC:4.1.1.45	AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
GO:0001888	EC:2.4.1.223	2.4.1.223-RXN
GO:0002083	EC:2.5.1.39	RXN-9230
GO:0002145	NA	RXN0-3543
GO:0003724	EC:3.6.4.13	ADENOSINETRIPHOSPHATASE-RXN
GO:0003755	EC:5.2.1.8	PEPTIDYLPROLYL-ISOMERASE-RXN
GO:0003756	EC:5.3.4.1	5.3.4.1-RXN
GO:0003796	EC:3.2.1.17	3.2.1.17-RXN
GO:0003810	EC:2.3.2.13	2.3.2.13-RXN
GO:0003825	EC:2.4.1.15	TREHALOSE6PSYN-RXN
GO:0003827	EC:2.4.1.101	2.4.1.101-RXN
GO:0003828	EC:2.4.99.8	2.4.99.8-RXN
GO:0003829	EC:2.4.1.102	2.4.1.102-RXN
GO:0003830	EC:2.4.1.144	2.4.1.144-RXN
GO:0003831	EC:2.4.1.38	2.4.1.38-RXN
GO:0003834	EC:1.13.11.63	BETA-CAROTENE-1515-DIOXYGENASE-RXN
GO:0003835	EC:2.4.99.1	2.4.99.1-RXN
GO:0003836	EC:2.4.99.4	2.4.99.4-RXN
GO:0003837	EC:3.5.1.6	BETA-UREIDOPROPIONASE-RXN
GO:0003838	EC:2.1.1.41	RXN3O-178
GO:0003839	EC:4.3.2.9	GAMMA-GLUTAMYLCYCLOTRANSFERASE-RXN
GO:0003840	EC:2.3.2.2	GAMMA-GLUTAMYLTRANSFERASE-RXN
GO:0003841	EC:2.3.1.51	RXN-1623
GO:0003842	EC:1.2.1.88	PYRROLINECARBDEHYDROG-RXN
GO:0003843	EC:2.4.1.34	13-BETA-GLUCAN-SYNTHASE-RXN
GO:0003844	EC:2.4.1.18	GLYCOGEN-BRANCH-RXN
GO:0003845	NA	11-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN
GO:0003846	EC:2.3.1.22	2-ACYLGLYCEROL-O-ACYLTRANSFERASE-RXN
GO:0003847	EC:3.1.1.47	3.1.1.47-RXN
GO:0003848	EC:2.7.6.3	H2PTERIDINEPYROPHOSPHOKIN-RXN
GO:0003849	EC:2.5.1.54	DAHPSYN-RXN
GO:0003850	EC:3.1.3.68	3.1.3.68-RXN
GO:0003851	EC:2.4.1.47	2.4.1.45-RXN
GO:0003852	EC:2.3.3.13	2-ISOPROPYLMALATESYN-RXN
GO:0003853	EC:1.3.99.12	2-METHYLACYL-COA-DEHYDROGENASE-RXN
GO:0003854	EC:1.1.1.145	1.1.1.145-RXN
GO:0003855	EC:4.2.1.10	3-DEHYDROQUINATE-DEHYDRATASE-RXN
GO:0003856	EC:4.2.3.4	3-DEHYDROQUINATE-SYNTHASE-RXN
GO:0003857	EC:1.1.1.35	OHACYL-COA-DEHYDROG-RXN
GO:0003858	EC:1.1.1.30	3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN
GO:0003859	EC:4.2.1.55	3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN
GO:0003860	EC:3.1.2.4	3-HYDROXYISOBUTYRYL-COA-HYDROLASE-RXN
GO:0003861	EC:4.2.1.33	3-ISOPROPYLMALISOM-RXN
GO:0003862	EC:1.1.1.85	3-ISOPROPYLMALDEHYDROG-RXN
GO:0003863	EC:1.2.4.4	1.2.4.4-RXN
GO:0003864	EC:2.1.2.11	3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN
GO:0003865	EC:1.3.99.5	1.3.99.5-RXN
GO:0003866	EC:2.5.1.19	2.5.1.19-RXN
GO:0003867	NA	GABATRANSAM-RXN
GO:0003868	EC:1.13.11.27	4-HYDROXYPHENYLPYRUVATE-DIOXYGENASE-RXN
GO:0003870	EC:2.3.1.37	5-AMINOLEVULINIC-ACID-SYNTHASE-RXN
GO:0003871	EC:2.1.1.14	HOMOCYSMET-RXN
GO:0003872	EC:2.7.1.11	6PFRUCTPHOS-RXN
GO:0003873	EC:2.7.1.105	6-PHOSPHOFRUCTO-2-KINASE-RXN
GO:0003874	EC:4.2.3.12	4.2.3.12-RXN
GO:0003875	EC:3.2.2.19	ADP-RIBOSYLARGININE-HYDROLASE-RXN
GO:0003876	EC:3.5.4.6	AMP-DEAMINASE-RXN
GO:0003877	EC:2.7.7.53	ATP-ADENYLYLTRANSFERASE-RXN
GO:0003878	EC:2.3.3.8	PWY-5172
GO:0003879	EC:2.4.2.17	ATPPHOSPHORIBOSYLTRANS-RXN
GO:0003881	EC:2.7.8.11	2.7.8.11-RXN
GO:0003882	EC:2.7.8.8	PHOSPHASERSYN-RXN
GO:0003883	EC:6.3.4.2	CTPSYN-RXN
GO:0003884	EC:1.4.3.3	D-AMINO-ACID-OXIDASE-RXN
GO:0003885	EC:1.1.3.37	1.1.3.37-RXN
GO:0003886	EC:2.1.1.37	2.1.1.73-RXN
GO:0003887	EC:2.7.7.7	DNA-DIRECTED-DNA-POLYMERASE-RXN
GO:0003899	EC:2.7.7.6	DNA-DIRECTED-RNA-POLYMERASE-RXN
GO:0003904	EC:4.1.99.3	DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN
GO:0003905	EC:3.2.2.21	3.2.2.21-RXN
GO:0003908	EC:2.1.1.63	2.1.1.63-RXN
GO:0003910	EC:6.5.1.1	DNA-LIGASE-ATP-RXN
GO:0003911	EC:6.5.1.2	DNA-LIGASE-NAD+-RXN
GO:0003912	EC:2.7.7.31	DNA-NUCLEOTIDYLEXOTRANSFERASE-RXN
GO:0003913	NA	DEOXYRIBODIPYRIMIDINE-PHOTOLYASE-RXN
GO:0003914	EC:4.1.99.13	RXN-10771
GO:0003917	EC:5.6.2.1	5.99.1.2-RXN
GO:0003918	EC:5.6.2.2	5.99.1.3-RXN
GO:0003919	EC:2.7.7.2	FADSYN-RXN
GO:0003920	EC:1.7.1.7	GMP-REDUCT-RXN
GO:0003921	NA	GMP-SYN-NH3-RXN
GO:0003922	EC:6.3.5.2	GMP-SYN-GLUT-RXN
GO:0003925	EC:3.6.5.2	3.6.1.47-RXN
GO:0003934	EC:3.5.4.16	GTP-CYCLOHYDRO-I-RXN
GO:0003935	EC:3.5.4.25	GTP-CYCLOHYDRO-II-RXN
GO:0003937	EC:3.5.4.10	IMPCYCLOHYDROLASE-RXN
GO:0003938	EC:1.1.1.205	IMP-DEHYDROG-RXN
GO:0003939	EC:1.1.1.14	L-IDITOL-2-DEHYDROGENASE-RXN
GO:0003940	EC:3.2.1.76	3.2.1.76-RXN
GO:0003941	EC:4.3.1.17	4.3.1.17-RXN
GO:0003942	EC:1.2.1.38	N-ACETYLGLUTPREDUCT-RXN
GO:0003943	EC:3.1.6.12	3.1.6.12-RXN
GO:0003944	EC:3.1.4.45	3.1.4.45-RXN
GO:0003945	EC:2.4.1.90	N-ACETYLLACTOSAMINE-SYNTHASE-RXN
GO:0003947	EC:2.4.1.92	2.4.1.92-RXN
GO:0003948	EC:3.5.1.26	3.5.1.26-RXN
GO:0003949	EC:5.3.1.16	PRIBFAICARPISOM-RXN
GO:0003950	EC:2.4.2.30	NAD+-ADP-RIBOSYLTRANSFERASE-RXN
GO:0003951	EC:2.7.1.23	NAD-KIN-RXN
GO:0003952	EC:6.3.5.1	NAD-SYNTH-GLN-RXN
GO:0003954	NA	NADH-DEHYDROGENASE-RXN
GO:0003955	EC:1.6.5.2	NQOR-RXN
GO:0003956	EC:2.4.2.31	2.4.2.31-RXN
GO:0003957	EC:1.6.1.1	PYRNUTRANSHYDROGEN-RXN
GO:0003958	EC:1.6.2.4	NADPH--FERRIHEMOPROTEIN-REDUCTASE-RXN
GO:0003959	EC:1.6.99.1	NADPH-DEHYDROGENASE-RXN
GO:0003960	EC:1.6.5.5	QOR-RXN
GO:0003961	EC:2.5.1.49	O-ACETYLHOMOSERINE-THIOL-LYASE-RXN
GO:0003962	EC:2.5.1.48	O-SUCCHOMOSERLYASE-RXN
GO:0003963	EC:6.5.1.4	RNA-3-PHOSPHATE-CYCLASE-RXN
GO:0003964	EC:2.7.7.49	RNA-DIRECTED-DNA-POLYMERASE-RXN
GO:0003968	EC:2.7.7.48	RNA-DIRECTED-RNA-POLYMERASE-RXN
GO:0003972	EC:6.5.1.3	RNA-LIGASE-ATP-RXN
GO:0003973	EC:1.1.3.15	S-2-HYDROXY-ACID-OXIDASE-RXN
GO:0003974	EC:5.1.3.7	UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN
GO:0003975	EC:2.7.8.15	2.7.8.15-RXN
GO:0003976	EC:2.7.8.17	2.7.8.17-RXN
GO:0003977	EC:2.7.7.23	NAG1P-URIDYLTRANS-RXN
GO:0003978	EC:5.1.3.2	UDPGLUCEPIM-RXN
GO:0003979	EC:1.1.1.22	UGD-RXN
GO:0003983	EC:2.7.7.9	GLUC1PURIDYLTRANS-RXN
GO:0003984	EC:2.2.1.6	ACETOLACTSYN-RXN
GO:0003985	EC:2.3.1.9	ACETYL-COA-ACETYLTRANSFER-RXN
GO:0003986	EC:3.1.2.1	ACETYL-COA-HYDROLASE-RXN
GO:0003987	EC:6.2.1.1	ACETATE--COA-LIGASE-RXN
GO:0003988	EC:2.3.1.16	KETOACYLCOATHIOL-RXN
GO:0003989	EC:6.4.1.2	ACETYL-COA-CARBOXYLTRANSFER-RXN
GO:0003990	EC:3.1.1.7	ACETYLCHOLINESTERASE-RXN
GO:0003991	EC:2.7.2.8	ACETYLGLUTKIN-RXN
GO:0003992	EC:2.6.1.11	ACETYLORNTRANSAM-RXN
GO:0003993	EC:3.1.3.2	ACID-PHOSPHATASE-RXN
GO:0003995	EC:1.3.99.3	LONG-CHAIN-FATTY-ACYL-COA-REDUCTASE-RXN
GO:0003997	EC:1.3.3.6	ACYL-COA-OXIDASE-RXN
GO:0003998	EC:3.6.1.7	ACYLPHOSPHATASE-RXN
GO:0003999	EC:2.4.2.7	ADENPRIBOSYLTRAN-RXN
GO:0004000	EC:3.5.4.4	ADENODEAMIN-RXN
GO:0004001	EC:2.7.1.20	ADENOSINE-KINASE-RXN
GO:0004013	EC:3.3.1.1	ADENOSYLHOMOCYSTEINASE-RXN
GO:0004014	EC:4.1.1.50	SAMDECARB-RXN
GO:0004015	EC:2.6.1.62	DAPASYN-RXN
GO:0004016	EC:4.6.1.1	ADENYLATECYC-RXN
GO:0004017	EC:2.7.4.3	ADENYL-KIN-RXN
GO:0004018	EC:4.3.2.2	AMPSYN-RXN
GO:0004019	EC:6.3.4.4	ADENYLOSUCCINATE-SYNTHASE-RXN
GO:0004020	EC:2.7.1.25	ADENYLYLSULFKIN-RXN
GO:0004021	EC:2.6.1.2	ALANINE-AMINOTRANSFERASE-RXN
GO:0004022	EC:1.1.1.1	ALCOHOL-DEHYDROG-GENERIC-RXN
GO:0004026	EC:2.3.1.84	ALCOHOL-O-ACETYLTRANSFERASE-RXN
GO:0004027	EC:2.8.2.2	ALCOHOL-SULFOTRANSFERASE-RXN
GO:0004029	EC:1.2.1.3	ALDHDEHYDROG-RXN
GO:0004030	EC:1.2.1.5	ALDEHYDE-DEHYDROGENASE-NADP+-RXN
GO:0004031	EC:1.2.3.1	ALDEHYDE-OXIDASE-RXN
GO:0004032	EC:1.1.1.21	ALDEHYDE-REDUCTASE-RXN
GO:0004034	EC:5.1.3.3	ALDOSE-1-EPIMERASE-RXN
GO:0004035	EC:3.1.3.1	ALKAPHOSPHA-RXN
GO:0004037	EC:3.5.3.4	ALLANTOICASE-RXN
GO:0004038	EC:3.5.2.5	ALLANTOINASE-RXN
GO:0004039	EC:3.5.1.54	ALLOPHANATE-HYDROLASE-RXN
GO:0004040	EC:3.5.1.4	AMIDASE-RXN
GO:0004042	EC:2.3.1.1	N-ACETYLTRANSFER-RXN
GO:0004043	EC:1.2.1.31	1.2.1.31-RXN
GO:0004044	EC:2.4.2.14	PRPPAMIDOTRANS-RXN
GO:0004045	EC:3.1.1.29	AMINOCYL-TRNA-HYDROLASE-RXN
GO:0004046	EC:3.5.1.14	AMINOACYLASE-RXN
GO:0004047	EC:2.1.2.10	GCVT-RXN
GO:0004048	EC:2.4.2.18	PRTRANS-RXN
GO:0004049	EC:4.1.3.27	ANTHRANSYN-RXN
GO:0004051	EC:1.13.11.34	ARACHIDONATE-5-LIPOXYGENASE-RXN
GO:0004052	EC:1.13.11.31	ARACHIDONATE-12-LIPOXYGENASE-RXN
GO:0004053	EC:3.5.3.1	ARGINASE-RXN
GO:0004054	EC:2.7.3.3	ARGININE-KINASE-RXN
GO:0004055	EC:6.3.4.5	ARGSUCCINSYN-RXN
GO:0004056	EC:4.3.2.1	ARGSUCCINLYA-RXN
GO:0004057	EC:2.3.2.8	ARGINYLTRANSFERASE-RXN
GO:0004058	EC:4.1.1.28	AROMATIC-L-AMINO-ACID-DECARBOXYLASE-RXN
GO:0004059	EC:2.3.1.87	ARALKYLAMINE-N-ACETYLTRANSFERASE-RXN
GO:0004060	EC:2.3.1.5	ARYLAMINE-N-ACETYLTRANSFERASE-RXN
GO:0004061	EC:3.5.1.9	ARYLFORMAMIDASE-RXN
GO:0004062	EC:2.8.2.1	ARYL-SULFOTRANSFERASE-RXN
GO:0004063	EC:3.1.8.1	ARYLDIALKYLPHOSPHATASE-RXN
GO:0004064	EC:3.1.1.2	ARYLESTERASE-RXN
GO:0004065	EC:3.1.6.1	ARYLSULFAT-RXN
GO:0004066	EC:6.3.5.4	ASNSYNB-RXN
GO:0004067	EC:3.5.1.1	ASPARAGHYD-RXN
GO:0004068	EC:4.1.1.11	PWY-5155
GO:0004069	EC:2.6.1.1	ASPAMINOTRANS-RXN
GO:0004070	EC:2.1.3.2	ASPCARBTRANS-RXN
GO:0004071	EC:6.3.1.1	ASNSYNA-RXN
GO:0004072	EC:2.7.2.4	ASPARTATEKIN-RXN
GO:0004073	EC:1.2.1.11	ASPARTATE-SEMIALDEHYDE-DEHYDROGENASE-RXN
GO:0004074	EC:1.3.1.24	BILIVERDIN-REDUCTASE-RXN
GO:0004075	EC:6.3.4.14	BIOTIN-CARBOXYL-RXN
GO:0004076	EC:2.8.1.6	2.8.1.6-RXN
GO:0004077	EC:6.3.4.15	BIOTINLIG-RXN
GO:0004078	EC:6.3.4.11	6.3.4.11-RXN
GO:0004079	EC:6.3.4.9	6.3.4.9-RXN
GO:0004080	EC:6.3.4.10	6.3.4.10-RXN
GO:0004081	EC:3.6.1.17	3.6.1.17-RXN
GO:0004082	EC:5.4.2.4	BISPHOSPHOGLYCERATE-MUTASE-RXN
GO:0004083	NA	BISPHOSPHOGLYCERATE-PHOSPHATASE-RXN
GO:0004085	EC:1.3.8.1	BUTYRYL-COA-DEHYDROGENASE-RXN
GO:0004087	EC:6.3.4.16	6.3.4.16-RXN
GO:0004088	EC:6.3.5.5	CARBPSYN-RXN
GO:0004089	EC:4.2.1.1	CARBODEHYDRAT-RXN
GO:0004090	EC:1.1.1.184	CARBONYL-REDUCTASE-NADPH-RXN
GO:0004092	EC:2.3.1.7	CARNITINE-O-ACETYLTRANSFERASE-RXN
GO:0004095	EC:2.3.1.21	CARNITINE-O-PALMITOYLTRANSFERASE-RXN
GO:0004096	EC:1.11.1.6	CATAL-RXN
GO:0004097	EC:1.10.3.1	RXN-13061
GO:0004098	EC:3.1.6.8	CEREBROSIDE-SULFATASE-RXN
GO:0004099	EC:3.5.1.41	CHITIN-DEACETYLASE-RXN
GO:0004100	EC:2.4.1.16	CHITIN-SYNTHASE-RXN
GO:0004102	EC:2.3.1.6	CHOLINE-O-ACETYLTRANSFERASE-RXN
GO:0004103	EC:2.7.1.32	CHOLINE-KINASE-RXN
GO:0004104	EC:3.1.1.8	CHOLINESTERASE-RXN
GO:0004105	EC:2.7.7.15	2.7.7.15-RXN
GO:0004106	EC:5.4.99.5	CHORISMATEMUT-RXN
GO:0004107	EC:4.2.3.5	CHORISMATE-SYNTHASE-RXN
GO:0004108	EC:2.3.3.1	CITSYN-RXN
GO:0004109	EC:1.3.3.3	RXN0-1461
GO:0004110	EC:5.3.1.21	CORTICOSTEROID-SIDE-CHAIN-ISOMERASE-RXN
GO:0004111	EC:2.7.3.2	CREATINE-KINASE-RXN
GO:0004113	EC:3.1.4.37	3.1.4.37-RXN
GO:0004114	EC:3.1.4.17	3.1.4.17-RXN
GO:0004115	EC:3.1.4.53	RXN0-5038
GO:0004121	EC:4.4.1.8	CYSTATHIONINE-BETA-LYASE-RXN
GO:0004122	EC:4.2.1.22	CYSTATHIONINE-BETA-SYNTHASE-RXN
GO:0004123	EC:4.4.1.1	CYSTAGLY-RXN
GO:0004124	EC:2.5.1.47	ACSERLY-RXN
GO:0004125	EC:2.9.1.1	2.9.1.1-RXN
GO:0004126	EC:3.5.4.5	CYTIDEAM2-RXN
GO:0004127	EC:2.7.4.14	CMPKI-RXN
GO:0004128	EC:1.6.2.2	CYTOCHROME-B5-REDUCTASE-RXN
GO:0004129	EC:7.1.1.9	CYTOCHROME-C-OXIDASE-RXN
GO:0004130	EC:1.11.1.5	CYTOCHROME-C-PEROXIDASE-RXN
GO:0004131	EC:3.5.4.1	CYTDEAM-RXN
GO:0004132	EC:3.5.4.12	DCMP-DEAMINASE-RXN
GO:0004134	EC:2.4.1.25	RXN-9023
GO:0004135	EC:3.2.1.33	3.2.1.33-RXN
GO:0004136	EC:2.7.1.76	DEOXYADENOSINE-KINASE-RXN
GO:0004137	EC:2.7.1.74	DEOXYCYTIDINE-KINASE-RXN
GO:0004138	EC:2.7.1.113	DEOXYGUANOSINE-KINASE-RXN
GO:0004139	EC:4.1.2.4	DEOXYRIBOSE-P-ALD-RXN
GO:0004140	EC:2.7.1.24	DEPHOSPHOCOAKIN-RXN
GO:0004141	EC:6.3.3.3	DETHIOBIOTIN-SYN-RXN
GO:0004142	EC:2.7.8.2	RXN-5781
GO:0004143	EC:2.7.1.107	DIACYLGLYKIN-RXN
GO:0004144	EC:2.3.1.20	DIACYLGLYCEROL-O-ACYLTRANSFERASE-RXN
GO:0004145	EC:2.3.1.57	DIAMACTRANS-RXN
GO:0004146	EC:1.5.1.3	DIHYDROFOLATEREDUCT-RXN
GO:0004148	EC:1.8.1.4	DIHYDLIPOXN-RXN
GO:0004150	EC:4.1.2.25	H2NEOPTERINALDOL-RXN
GO:0004151	EC:3.5.2.3	DIHYDROOROT-RXN
GO:0004152	EC:1.3.5.2	DIHYDROOROTATE-DEHYDROGENASE-RXN
GO:0004155	EC:1.5.1.34	1.5.1.34-RXN
GO:0004156	EC:2.5.1.15	H2PTEROATESYNTH-RXN
GO:0004157	EC:3.5.2.2	DIHYDROPYRIMIDINASE-RXN
GO:0004159	EC:1.3.1.1	DIHYDROURACIL-DEHYDROGENASE-NAD+-RXN
GO:0004160	EC:4.2.1.9	DIHYDROXYISOVALDEHYDRAT-RXN
GO:0004161	EC:2.5.1.1	GPPSYN-RXN
GO:0004163	EC:4.1.1.33	DIPHOSPHOMEVALONTE-DECARBOXYLASE-RXN
GO:0004164	EC:2.1.1.98	RXN-11370
GO:0004165	EC:5.3.3.8	RXN-7931 {xref="skos:narrowMatch"}
GO:0004166	EC:2.4.1.153	2.4.1.153-RXN
GO:0004167	EC:5.3.3.12	DOPACHROME-DELTA-ISOMERASE-RXN
GO:0004168	EC:2.7.1.108	DOLICHOL-KINASE-RXN
GO:0004169	EC:2.4.1.109	2.4.1.109-RXN
GO:0004170	EC:3.6.1.23	DUTP-PYROP-RXN
GO:0004173	EC:2.3.1.139	ECDYSONE-O-ACYLTRANSFERASE-RXN
GO:0004174	EC:1.5.5.1	1.5.5.1-RXN
GO:0004175	NA	RXN0-5195
GO:0004177	NA	RXN0-5052
GO:0004178	EC:3.4.11.1	3.4.11.1-RXN
GO:0004179	EC:3.4.11.2	3.4.11.2-RXN
GO:0004214	EC:3.4.14.1	3.4.14.1-RXN
GO:0004219	EC:3.4.19.3	PYROGLUTAMYL-PEPTIDASE-I-RXN
GO:0004221	NA	UBIQUITIN-THIOLESTERASE-RXN
GO:0004230	EC:3.4.11.7	3.4.11.7-RXN
GO:0004234	EC:3.4.24.65	3.4.24.65-RXN
GO:0004237	EC:3.4.13.19	3.4.13.19-RXN
GO:0004239	EC:3.4.11.18	3.4.11.18-RXN
GO:0004246	EC:3.4.15.1	3.4.15.1-RXN
GO:0004250	EC:3.4.11.22	3.4.11.22-RXN
GO:0004251	EC:3.4.13.9	3.4.13.9-RXN
GO:0004274	EC:3.4.14.5	3.4.14.5-RXN
GO:0004300	EC:4.2.1.17	ENOYL-COA-HYDRAT-RXN
GO:0004301	EC:3.3.2.10	3.3.2.10-RXN
GO:0004303	EC:1.1.1.62	ESTRADIOL-17-BETA-DEHYDROGENASE-RXN
GO:0004304	EC:2.8.2.4	ESTRONE-SULFOTRANSFERASE-RXN
GO:0004305	EC:2.7.1.82	ETHANOLAMINE-KINASE-RXN
GO:0004306	EC:2.7.7.14	2.7.7.14-RXN
GO:0004307	EC:2.7.8.1	ETHANOLAMINEPHOSPHOTRANSFERASE-RXN
GO:0004308	EC:3.2.1.18	3.2.1.18-RXN
GO:0004309	EC:3.6.1.11	EXOPOLYPHOSPHATASE-RXN
GO:0004310	EC:2.5.1.21	2.5.1.21-RXN
GO:0004311	EC:2.5.1.29	FARNESYLTRANSTRANSFERASE-RXN
GO:0004312	EC:2.3.1.85	FATTY-ACID-SYNTHASE-RXN
GO:0004313	EC:2.3.1.38	ACP-S-ACETYLTRANSFER-RXN
GO:0004314	EC:2.3.1.39	MALONYL-COA-ACP-TRANSACYL-RXN
GO:0004315	EC:2.3.1.41	3-OXOACYL-ACP-SYNTH-RXN
GO:0004316	EC:1.1.1.100	3-OXOACYL-ACP-REDUCT-RXN
GO:0004317	EC:4.2.1.59	4.2.1.61-RXN
GO:0004318	EC:1.3.1.9	ENOYL-ACP-REDUCT-NADH-RXN
GO:0004319	EC:1.3.1.10	ENOYL-ACP-REDUCT-NADPH-RXN
GO:0004320	EC:3.1.2.14	PWY-5142
GO:0004321	EC:2.3.1.86	FATTY-ACYL-COA-SYNTHASE-RXN
GO:0004322	EC:1.16.3.1	RXN0-1483
GO:0004324	EC:1.18.1.2	1.18.1.2-RXN
GO:0004325	EC:4.99.1.1	PROTOHEMEFERROCHELAT-RXN
GO:0004326	EC:6.3.2.17	FOLYLPOLYGLUTAMATESYNTH-RXN
GO:0004328	EC:3.5.1.49	FORMAMIDASE-RXN
GO:0004329	EC:6.3.4.3	FORMATETHFLIG-RXN
GO:0004331	EC:3.1.3.46	3.1.3.46-RXN
GO:0004332	EC:4.1.2.13	F16ALDOLASE-RXN
GO:0004333	EC:4.2.1.2	FUMHYDR-RXN
GO:0004334	EC:3.7.1.2	FUMARYLACETOACETASE-RXN
GO:0004335	EC:2.7.1.6	GALACTOKIN-RXN
GO:0004336	EC:3.2.1.46	GALACTOSYLCERAMIDASE-RXN
GO:0004337	EC:2.5.1.10	FPPSYN-RXN
GO:0004338	EC:3.2.1.58	3.2.1.58-RXN
GO:0004339	EC:3.2.1.3	3.2.1.3-RXN
GO:0004340	EC:2.7.1.2	GLUCOKIN-RXN
GO:0004341	EC:3.1.1.17	GLUCONOLACT-RXN
GO:0004342	EC:3.5.99.6	GLUCOSAMINE-6-P-DEAMIN-RXN
GO:0004343	EC:2.3.1.4	GLUCOSAMINEPNACETYLTRANS-RXN
GO:0004344	EC:1.1.99.10	GLUCOSE-DEHYDROGENASE-ACCEPTOR-RXN
GO:0004345	EC:1.1.1.49	GLU6PDEHYDROG-RXN
GO:0004346	EC:3.1.3.9	GLUCOSE-6-PHOSPHATASE-RXN
GO:0004347	EC:5.3.1.9	PGLUCISOM-RXN
GO:0004348	EC:3.2.1.45	GLUCOSYLCERAMIDASE-RXN
GO:0004349	EC:2.7.2.11	GLUTKIN-RXN
GO:0004350	EC:1.2.1.41	GLUTSEMIALDEHYDROG-RXN
GO:0004351	EC:4.1.1.15	GLUTDECARBOX-RXN
GO:0004352	EC:1.4.1.2	GLUTAMATE-DEHYDROGENASE-RXN
GO:0004353	EC:1.4.1.3	GLUTAMATE-SYN2-PWY
GO:0004354	EC:1.4.1.4	GLUTSYNIII-PWY
GO:0004355	EC:1.4.1.13	GLUTSYN-PWY
GO:0004356	EC:6.3.1.2	GLUTAMINESYN-RXN
GO:0004357	EC:6.3.2.2	GLUTCYSLIG-RXN
GO:0004358	EC:2.3.1.35	GLUTAMATE-N-ACETYLTRANSFERASE-RXN
GO:0004359	EC:3.5.1.2	GLUTAMIN-RXN
GO:0004360	EC:2.6.1.16	L-GLN-FRUCT-6-P-AMINOTRANS-RXN
GO:0004361	EC:1.3.8.6	GLUTARYL-COA-DEHYDROGENASE-RXN
GO:0004362	EC:1.8.1.7	GLUTATHIONE-REDUCT-NADPH-RXN
